AAPL,AAPL R735QTJ8XC9X,20110330,0.206530193821084,14313809,
ADBE,ADBE R735QTJ8XC9X,20110330,0.0075306187,5524570,
ADP,AUD R735QTJ8XC9X,20110330,0.0082692701,3907912,
ADSK,ADSK R735QTJ8XC9X,20110330,0.0047603568,2639224,
AKAM,AKAM RP9Y0ZSHT205,20110330,0.0032771328,2079181,
ALTR,ALTR R735QTJ8XC9X,20110330,0.009087135,5013915,
AMAT,AMAT R735QTJ8XC9X,20110330,0.0049451064,7599240,
AMGN,AMGN R735QTJ8XC9X,20110330,0.0107927331,4840229,
AMZN,AMZN R735QTJ8XC9X,20110330,0.024759657,3335777,
APOL,APOL R735QTJ8XC9X,20110330,0.0027587648,1610785,
ATVI,ATVI R735QTJ8XC9X,20110330,0.0053351326,11756061,
BBBY,BBBY R735QTJ8XC9X,20110330,0.0076627723,3815223,
BIDU,BIDU TAWKXZJ50P5X,20110330,0.0174979903,3101421,
BIIB,IDPH R735QTJ8XC9X,20110330,0.0086777203,2917427,
BMC,BMCS R735QTJ8XC9X,20110330,0.0047592471,2313359,
BRCM,BRCM R9YJOMXYYK4L,20110330,0.0082325174,4929435,
CA,CA R735QTJ8XC9X,20110330,0.005386028,5456591,
CELG,CELG R735QTJ8XC9X,20110330,0.012207535727045,5197953,
CEPH,CEPH R735QTJ8XC9X,20110330,0.0025641855,821620,
CERN,CERN R735QTJ8XC9X,20110330,0.0042217695,925298,
CHKP,CHKPF R735QTJ8XC9X,20110330,0.0048268595,2293194,
CHRW,CHRW R735QTJ8XC9X,20110330,0.0055329895,1829390,
CMCSA,CMCSA SJTSDFE19S9X,20110330,0.0165130174,16160423,
COST,COST R735QTJ8XC9X,20110330,0.007715258,2561431,
CSCO,CSCO R735QTJ8XC9X,20110330,0.0157618953,21998030,
CTRP,CTRP SUCVHF80Q92D,20110330,0.002875507,1702387,
CTSH,CTSH RBOKUIZLS38L,20110330,0.0111554363,3302582,
CTXS,CTXS R735QTJ8XC9X,20110330,0.0074199586,2482830,
DELL,DELL R735QTJ8XC9X,20110330,0.0047902368,7909320,
DLTR,DLTR R735QTJ8XC9X,20110330,0.0034164888,1469491,
DTV,HS SUQNQQCDSTB9,20110330,0.0123038641,6409834,
EBAY,EBAY REC37LGZ79T1,20110330,0.0141130457,10785612,
ERTS,ERTS R735QTJ8XC9X,20110330,0.0030565705,3754331,
ESRX,ESRX R735QTJ8XC9X,20110330,0.0119285346,5251204,
EXPD,EXPD R735QTJ8XC9X,20110330,0.0047796816,2320492,
EXPE,EXPE TB0IQCZTBPT1,20110330,0.0028193939,2987815,
FAST,FAST R735QTJ8XC9X,20110330,0.0041884497,1569944,
FFIV,FFIV RL97B90OK5ET,20110330,0.0035975538,863577,
FISV,FISV R735QTJ8XC9X,20110330,0.0052671869,2034866,
FLEX,FLEXF R735QTJ8XC9X,20110330,0.0028948783,9183296,
FLIR,FLIR R735QTJ8XC9X,20110330,0.0026347219,1848710,
FSLR,FSLR TNQDLU3AWJFP,20110330,0.0053861191,837869,
GENZ,GENZ R735QTJ8XC9X,20110330,0.0114965544,3656118,
GILD,GILD R735QTJ8XC9X,20110330,0.015337869101238,8721620,
GOOG,GOOG T1AZ164W5VTX,20110330,0.040924864,1700227,
GRMN,GRMN S0DPIYB0VD5X,20110330,0.0030245338,2151584,
HSIC,HSIC R735QTJ8XC9X,20110330,0.0029233744,1020441,
ILMN,ILMN RWQR2INKP0TH,20110330,0.0040372805,1395760,
INFY,INFY RIXIBAXC20RP,20110330,0.0035055023,1197528,
INTC,INTC R735QTJ8XC9X,20110330,0.0181146096,21401617,
INTU,INTU R735QTJ8XC9X,20110330,0.0094073147,4357976,
ISRG,ISRG RVIFYB6Z92LH,20110330,0.0060499097,432400,
JOYG,JOYG S6U310MUXF1H,20110330,0.0045111802,1144369,
KLAC,KLAC R735QTJ8XC9X,20110330,0.0044467581,2257238,
LIFE,IVGN RIKPI36527OL,20110330,0.0043691759,2028314,
LINTA,LINTA TIIB7Z82AFS5,20110330,0.004100626,6130041,
LLTC,LLTC R735QTJ8XC9X,20110330,0.004738262,3377649,
LRCX,LRCX R735QTJ8XC9X,20110330,0.0033484162,1421245,
MAT,MAT R735QTJ8XC9X,20110330,0.0045884175,4440110,
MCHP,MCHP R735QTJ8XC9X,20110330,0.0027599004,1745068,
MICC,MICCF R735QTJ8XC9X,20110330,0.0046130284,1175262,
MRVL,MRVL RVW87MBCBMUD,20110330,0.0045709566,6914385,
MSFT,MSFT R735QTJ8XC9X,20110330,0.034079149785907,32204121,
MU,MU R735QTJ8XC9X,20110330,0.0054498914,11376339,
MXIM,MXIM R735QTJ8XC9X,20110330,0.0034338254,3249979,
MYL,MYL R735QTJ8XC9X,20110330,0.0046593359,4946343,
NFLX,NFLX SEWJWLJNHZDX,20110330,0.0055279099,561563,
NIHD,NIHD SML8IVC2ZZHH,20110330,0.003154741,1837106,
NTAP,NTAP R735QTJ8XC9X,20110330,0.0083602126,4210167,
NVDA,NVDA RHM8UTD8DT2D,20110330,0.0048511922,6355875,
NWSA,NWSA T3MO1488O0H1,20110330,0.0115207519,15904423,
ORCL,ORCL R735QTJ8XC9X,20110330,0.0320758728,23467222,
ORLY,ORLY R735QTJ8XC9X,20110330,0.0037511378,1567411,
PAYX,PAYX R735QTJ8XC9X,20110330,0.004950453,3821951,
PCAR,PCAR R735QTJ8XC9X,20110330,0.0097745723,4553416,
PCLN,PCLN RJG7T2VJICTH,20110330,0.0120761042,579188,
QCOM,QCOM R735QTJ8XC9X,20110330,0.0498058475,22086525,
QGEN,QGENF R735QTJ8XC9X,20110330,0.002202527,2627877,
RIMM,RIMM RHZ1O14FDM5H,20110330,0.0136519539,5786483,
ROST,ROST R735QTJ8XC9X,20110330,0.0039794247,1341417,
SBUX,SBUX R735QTJ8XC9X,20110330,0.0175472609,11554421,
SHLD,KMRT SPDO4ENASXUT,20110330,0.0043703988,1268386,
SIAL,SIAL R735QTJ8XC9X,20110330,0.0034464137,1304553,
SNDK,SNDK R735QTJ8XC9X,20110330,0.0050347807,2680108,
SPLS,SPLS R735QTJ8XC9X,20110330,0.0044232916,5411054,
SRCL,SRCL R735QTJ8XC9X,20110330,0.003645496203683,999332,
STX,STX SKFG7HFQYDT1,20110330,0.003062127,5028502,
SYMC,SYMC R735QTJ8XC9X,20110330,0.0066367995,8888014,
TEVA,TEVIY R735QTJ8XC9X,20110330,0.016593746279898,8017467,
URBN,URBN R735QTJ8XC9X,20110330,0.0022840055,1807804,
VMED,NTLI SLBXYKIBHA3P,20110330,0.0041966024,3668816,
VOD,VOD R735QTJ8XC9X,20110330,0.0102171352,8458036,
VRSN,VRSN R7UQ9FRZ2GRP,20110330,0.0027471078,1821803,
VRTX,VRTX R735QTJ8XC9X,20110330,0.0047761757,2381447,
WCRX,WCRX TM694I8OJJAD,20110330,0.0027492012,2804022,
WFMI,WFMI R735QTJ8XC9X,20110330,0.0055277861,2026709,
WYNN,WYNN SJ56738TCX9H,20110330,0.0079481452,1504992,
XLNX,XLNX R735QTJ8XC9X,20110330,0.0052364179,3857903,
XRAY,XRAY R735QTJ8XC9X,20110330,0.0022944978,1519977,
YHOO,YHOO R735QTJ8XC9X,20110330,0.0048556589,7011581,
