18991230,gc,COMEX
20130125,gc veg5o7vcck2l,COMEX,3
20130128,gc vdol5lmm7fkt,COMEX,0
20130131,gc veg5o7vcck2l,COMEX,1
20130217,gc veg5o7vcck2l,COMEX,2
20130219,gc vf7q6u42hokd,COMEX,2
20130225,gc veg5o7vcck2l,COMEX,0
20130228,gc vf7q6u42hokd,COMEX,1
20130322,gc vg291qgav2jh,COMEX,3
20130325,gc vf7q6u42hokd,COMEX,0
20130331,gc vg291qgav2jh,COMEX,1
20130416,gc vg291qgav2jh,COMEX,2
20130417,gc vgyqstivdyu5,COMEX,2
20130425,gc vg291qgav2jh,COMEX,0
20130430,gc vgyqstivdyu5,COMEX,1
20130524,gc vhqbbfrlj3bx,COMEX,3
20130528,gc vgyqstivdyu5,COMEX,0
20130531,gc vhqbbfrlj3bx,COMEX,1
20130625,gc vhqbbfrlj3bx,COMEX,0
20130625,gc vhqbbfrlj3bx,COMEX,2
20130626,gc vimt2iu61zml,COMEX,2
20130630,gc vimt2iu61zml,COMEX,1
20130716,gc vjgchbt8cmfx,COMEX,3
20130728,gc vimt2iu61zml,COMEX,0
20130731,gc vjgchbt8cmfx,COMEX,1
20130827,gc vjgchbt8cmfx,COMEX,0
20130827,gc vjgchbt8cmfx,COMEX,2
20130828,gc vk8wg1f4ki3h,COMEX,2
20130831,gc vk8wg1f4ki3h,COMEX,1
20130925,gc vk8wg1f4ki3h,COMEX,0
20130930,gc vl5e74hp3ee5,COMEX,1
20131015,gc vl5e74hp3ee5,COMEX,2
20131016,gc vlwypqqf8ivx,COMEX,2
20131028,gc vl5e74hp3ee5,COMEX,0
20131031,gc vlwypqqf8ivx,COMEX,1
20131122,gc vmrhkn2nlwv1,COMEX,3
20131125,gc vlwypqqf8ivx,COMEX,0
20131130,gc vmrhkn2nlwv1,COMEX,1
20131226,gc vmrhkn2nlwv1,COMEX,0
20131226,gc vmrhkn2nlwv1,COMEX,2
20131227,gc vnnzbq584t5p,COMEX,2
20131231,gc vnnzbq584t5p,COMEX,1